@relation 1merLabeled

@attribute A real 
@attribute R real
@attribute N real
@attribute D real
@attribute C real
@attribute E real
@attribute Q real
@attribute G real
@attribute H real
@attribute I real
@attribute L real
@attribute K real
@attribute M real
@attribute F real
@attribute P real
@attribute S real
@attribute T real
@attribute W real
@attribute Y real
@attribute V real
@attribute errorPercent real

@data
0.000,0.000,0.083,0.000,0.000,0.000,0.083,0.167,0.000,0.167,0.000,0.083,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.167,0.00309589
0.100,0.000,0.100,0.000,0.000,0.100,0.000,0.100,0.100,0.000,0.000,0.100,0.100,0.100,0.000,0.000,0.100,0.000,0.100,0.000,0.00433075
0.083,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.167,0.083,0.083,0.083,0.000,0.000,0.000,0.167,0.000,0.000,0.083,0.083,0.00449972
0.000,0.125,0.125,0.250,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125,0.00481416
0.053,0.000,0.000,0.053,0.000,0.263,0.000,0.105,0.000,0.105,0.053,0.053,0.053,0.105,0.105,0.000,0.000,0.000,0.053,0.000,0.00140021
0.000,0.077,0.000,0.000,0.000,0.154,0.077,0.077,0.000,0.077,0.000,0.000,0.077,0.000,0.000,0.000,0.154,0.000,0.154,0.154,0.00217638
0.083,0.000,0.000,0.000,0.000,0.000,0.083,0.083,0.083,0.000,0.000,0.083,0.000,0.167,0.000,0.333,0.000,0.000,0.000,0.083,0.00436743
0.000,0.083,0.000,0.083,0.000,0.083,0.167,0.083,0.000,0.000,0.167,0.000,0.000,0.083,0.000,0.000,0.083,0.000,0.000,0.167,0.00198983
0.083,0.000,0.083,0.167,0.000,0.083,0.000,0.083,0.000,0.083,0.000,0.083,0.083,0.000,0.083,0.083,0.000,0.083,0.000,0.000,0.00312938
0.000,0.000,0.000,0.000,0.000,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.000,0.100,0.000,0.100,0.100,0.000,0.000,0.000,0.00423789
0.000,0.125,0.125,0.000,0.000,0.250,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.250,0.00823221
0.028,0.000,0.056,0.111,0.000,0.056,0.028,0.083,0.028,0.083,0.083,0.028,0.000,0.028,0.111,0.056,0.028,0.056,0.083,0.056,0.00138404
0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.286,0.000,0.000,0.143,0.143,0.00863649
0.065,0.032,0.065,0.032,0.097,0.097,0.000,0.065,0.032,0.032,0.097,0.000,0.000,0.065,0.097,0.097,0.097,0.000,0.000,0.032,0.00189804
0.000,0.067,0.067,0.067,0.067,0.067,0.000,0.133,0.000,0.133,0.000,0.000,0.000,0.000,0.000,0.133,0.000,0.000,0.133,0.133,0.00239107
0.056,0.000,0.000,0.000,0.056,0.056,0.000,0.056,0.000,0.056,0.111,0.056,0.000,0.111,0.056,0.111,0.056,0.000,0.056,0.167,0.0014676
0.000,0.091,0.000,0.000,0.000,0.091,0.091,0.182,0.000,0.000,0.182,0.091,0.000,0.000,0.091,0.091,0.000,0.000,0.000,0.091,0.00556293
0.067,0.067,0.133,0.000,0.000,0.200,0.067,0.000,0.000,0.067,0.133,0.000,0.000,0.000,0.000,0.000,0.133,0.000,0.133,0.000,0.0023439
0.000,0.100,0.300,0.000,0.100,0.000,0.100,0.000,0.000,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.100,0.00426355
0.000,0.000,0.000,0.182,0.000,0.000,0.091,0.091,0.000,0.182,0.000,0.091,0.000,0.000,0.000,0.182,0.000,0.000,0.000,0.182,0.00344919
0.118,0.000,0.000,0.059,0.000,0.059,0.118,0.000,0.000,0.176,0.176,0.059,0.000,0.059,0.000,0.059,0.118,0.000,0.000,0.000,0.00142321
0.045,0.000,0.091,0.091,0.045,0.091,0.091,0.091,0.000,0.136,0.091,0.045,0.000,0.000,0.000,0.000,0.136,0.045,0.000,0.000,0.00165379
0.300,0.000,0.000,0.000,0.000,0.100,0.000,0.100,0.000,0.000,0.100,0.100,0.000,0.000,0.000,0.000,0.100,0.000,0.100,0.100,0.00399785
0.231,0.077,0.000,0.077,0.000,0.000,0.000,0.154,0.000,0.077,0.154,0.000,0.000,0.000,0.000,0.000,0.077,0.000,0.077,0.077,0.00213577
0.200,0.100,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.300,0.00394119
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.182,0.182,0.091,0.091,0.000,0.091,0.000,0.091,0.000,0.091,0.182,0.00174435
0.125,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.125,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.00957677
0.062,0.062,0.062,0.125,0.062,0.062,0.000,0.000,0.000,0.062,0.000,0.062,0.000,0.062,0.062,0.062,0.000,0.000,0.000,0.250,0.00291375
0.250,0.000,0.083,0.000,0.000,0.000,0.167,0.167,0.000,0.083,0.083,0.083,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.0054058
0.083,0.000,0.083,0.083,0.000,0.000,0.000,0.083,0.000,0.000,0.083,0.083,0.083,0.167,0.000,0.083,0.000,0.000,0.000,0.167,0.00189414
0.000,0.000,0.100,0.100,0.000,0.000,0.100,0.150,0.050,0.050,0.050,0.050,0.000,0.000,0.050,0.100,0.000,0.000,0.000,0.200,0.00312914
0.000,0.000,0.188,0.125,0.000,0.125,0.062,0.125,0.000,0.062,0.125,0.062,0.000,0.000,0.062,0.000,0.000,0.062,0.000,0.000,0.00230011
0.125,0.062,0.000,0.125,0.062,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.188,0.000,0.000,0.000,0.188,0.00261184
0.136,0.000,0.045,0.000,0.000,0.045,0.000,0.000,0.045,0.091,0.227,0.045,0.045,0.000,0.182,0.045,0.000,0.000,0.045,0.045,0.00165959
0.067,0.000,0.000,0.267,0.000,0.000,0.000,0.067,0.067,0.000,0.000,0.067,0.000,0.200,0.000,0.000,0.133,0.000,0.000,0.133,0.0023833
0.188,0.062,0.000,0.125,0.000,0.062,0.125,0.000,0.125,0.062,0.062,0.000,0.000,0.000,0.062,0.000,0.000,0.062,0.062,0.000,0.00327102
0.000,0.000,0.091,0.182,0.000,0.091,0.000,0.000,0.000,0.000,0.091,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.455,0.00319666
0.091,0.000,0.000,0.000,0.000,0.000,0.273,0.000,0.091,0.091,0.000,0.091,0.091,0.000,0.091,0.000,0.000,0.091,0.000,0.091,0.00379709
0.200,0.000,0.000,0.000,0.000,0.133,0.000,0.133,0.067,0.067,0.000,0.067,0.000,0.000,0.067,0.000,0.133,0.000,0.000,0.133,0.00503176
0.111,0.111,0.000,0.111,0.111,0.333,0.000,0.000,0.000,0.111,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00476272
0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.500,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.00258066
0.000,0.000,0.056,0.000,0.111,0.111,0.000,0.000,0.000,0.111,0.000,0.056,0.000,0.000,0.056,0.222,0.167,0.000,0.056,0.056,0.00316596
0.214,0.071,0.000,0.071,0.000,0.143,0.214,0.071,0.071,0.000,0.000,0.000,0.000,0.000,0.071,0.071,0.000,0.000,0.000,0.000,0.0127988
0.000,0.000,0.000,0.091,0.000,0.091,0.000,0.182,0.182,0.000,0.000,0.182,0.000,0.000,0.091,0.091,0.000,0.000,0.091,0.000,0.0183725
0.071,0.000,0.000,0.071,0.000,0.071,0.071,0.214,0.000,0.000,0.071,0.071,0.000,0.000,0.000,0.000,0.071,0.071,0.000,0.214,0.00263321
0.083,0.083,0.000,0.000,0.000,0.083,0.000,0.167,0.083,0.000,0.083,0.000,0.083,0.000,0.000,0.167,0.083,0.000,0.000,0.083,0.00708892
0.100,0.100,0.000,0.000,0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.100,0.200,0.000,0.000,0.000,0.100,0.00454581
0.000,0.059,0.059,0.059,0.000,0.118,0.118,0.000,0.000,0.000,0.235,0.000,0.000,0.000,0.000,0.059,0.000,0.000,0.176,0.118,0.00190313
0.000,0.048,0.048,0.143,0.000,0.190,0.048,0.000,0.000,0.000,0.095,0.048,0.000,0.000,0.143,0.000,0.048,0.095,0.000,0.095,0.00203126
0.000,0.000,0.077,0.077,0.000,0.154,0.000,0.077,0.000,0.077,0.000,0.077,0.000,0.000,0.231,0.154,0.000,0.000,0.000,0.077,0.00467702
0.095,0.048,0.048,0.095,0.048,0.190,0.000,0.000,0.000,0.048,0.143,0.000,0.000,0.000,0.048,0.095,0.048,0.000,0.048,0.048,0.00177903
0.059,0.059,0.059,0.059,0.059,0.118,0.000,0.059,0.059,0.000,0.294,0.000,0.000,0.000,0.000,0.059,0.059,0.000,0.000,0.059,0.00222781
0.000,0.111,0.000,0.000,0.000,0.000,0.111,0.111,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.111,0.111,0.000,0.111,0.000,0.00359012
0.000,0.083,0.167,0.083,0.083,0.083,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.167,0.000,0.000,0.083,0.00459797
0.091,0.000,0.000,0.000,0.000,0.000,0.091,0.182,0.000,0.091,0.000,0.091,0.000,0.182,0.000,0.091,0.182,0.000,0.000,0.000,0.00315109
0.000,0.000,0.000,0.077,0.000,0.154,0.154,0.000,0.000,0.077,0.077,0.077,0.077,0.000,0.000,0.231,0.000,0.000,0.077,0.000,0.00383026
0.091,0.091,0.000,0.091,0.000,0.091,0.091,0.000,0.000,0.000,0.091,0.000,0.000,0.000,0.182,0.091,0.091,0.000,0.091,0.000,0.00442885
0.000,0.125,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.375,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.00262023
0.000,0.100,0.000,0.100,0.000,0.100,0.000,0.000,0.000,0.200,0.200,0.000,0.000,0.000,0.100,0.100,0.000,0.000,0.000,0.100,0.00245952
0.308,0.000,0.000,0.000,0.000,0.154,0.000,0.000,0.000,0.077,0.154,0.077,0.000,0.000,0.077,0.000,0.077,0.000,0.000,0.077,0.00264661
0.000,0.000,0.071,0.071,0.000,0.214,0.143,0.000,0.071,0.143,0.071,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.071,0.00383604
0.000,0.071,0.000,0.143,0.000,0.071,0.071,0.071,0.000,0.071,0.071,0.071,0.143,0.000,0.143,0.000,0.000,0.000,0.000,0.071,0.00341701
0.100,0.100,0.000,0.000,0.000,0.200,0.200,0.100,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.00615366
0.167,0.000,0.083,0.167,0.000,0.083,0.083,0.000,0.000,0.000,0.000,0.083,0.000,0.083,0.083,0.000,0.083,0.000,0.000,0.083,0.00428452
0.000,0.000,0.000,0.077,0.000,0.000,0.154,0.077,0.000,0.000,0.308,0.077,0.077,0.000,0.077,0.000,0.077,0.000,0.000,0.077,0.00255321
0.000,0.000,0.000,0.000,0.000,0.071,0.000,0.143,0.000,0.143,0.143,0.071,0.000,0.071,0.000,0.214,0.071,0.071,0.000,0.000,0.00211479
0.000,0.071,0.000,0.000,0.000,0.214,0.071,0.000,0.071,0.000,0.143,0.000,0.071,0.000,0.000,0.071,0.000,0.000,0.071,0.214,0.002988
0.050,0.000,0.050,0.050,0.000,0.050,0.100,0.050,0.000,0.050,0.050,0.050,0.000,0.050,0.050,0.100,0.200,0.000,0.050,0.050,0.00250504
0.000,0.059,0.118,0.000,0.000,0.059,0.118,0.118,0.000,0.059,0.118,0.000,0.059,0.000,0.059,0.118,0.059,0.000,0.000,0.059,0.00282044
0.000,0.100,0.100,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.100,0.100,0.000,0.000,0.100,0.000,0.100,0.100,0.100,0.000,0.00398356
0.000,0.056,0.056,0.111,0.000,0.056,0.000,0.222,0.056,0.000,0.056,0.000,0.000,0.000,0.056,0.167,0.000,0.000,0.167,0.000,0.00413059
0.059,0.059,0.059,0.118,0.000,0.059,0.000,0.118,0.000,0.059,0.118,0.000,0.118,0.118,0.000,0.118,0.000,0.000,0.000,0.000,0.00193832
0.263,0.000,0.105,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.053,0.053,0.053,0.105,0.000,0.105,0.053,0.000,0.053,0.105,0.00209673
0.059,0.000,0.059,0.059,0.059,0.118,0.000,0.059,0.059,0.059,0.059,0.059,0.000,0.000,0.000,0.059,0.118,0.000,0.059,0.118,0.00368612
0.000,0.091,0.000,0.000,0.000,0.273,0.000,0.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.091,0.182,0.000,0.091,0.182,0.00361839
0.000,0.067,0.133,0.067,0.000,0.133,0.067,0.067,0.000,0.000,0.067,0.000,0.067,0.000,0.067,0.067,0.133,0.000,0.000,0.067,0.00393097
0.105,0.000,0.000,0.053,0.000,0.053,0.158,0.105,0.000,0.000,0.211,0.053,0.000,0.105,0.000,0.000,0.053,0.000,0.000,0.105,0.0017272
0.077,0.077,0.000,0.000,0.000,0.000,0.077,0.154,0.000,0.077,0.077,0.000,0.077,0.000,0.077,0.231,0.000,0.000,0.000,0.077,0.00401689
0.100,0.000,0.000,0.100,0.100,0.000,0.100,0.000,0.000,0.000,0.300,0.100,0.100,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.0022896
0.000,0.000,0.000,0.111,0.000,0.222,0.000,0.000,0.000,0.111,0.111,0.111,0.000,0.000,0.000,0.000,0.222,0.000,0.000,0.111,0.00443446
0.114,0.000,0.000,0.057,0.086,0.171,0.143,0.029,0.029,0.029,0.143,0.029,0.000,0.000,0.029,0.086,0.029,0.000,0.000,0.029,0.0022921
0.087,0.043,0.087,0.130,0.043,0.000,0.000,0.043,0.043,0.000,0.174,0.000,0.000,0.000,0.043,0.043,0.087,0.000,0.043,0.130,0.00251224
0.000,0.038,0.115,0.077,0.000,0.000,0.000,0.077,0.000,0.115,0.115,0.000,0.000,0.077,0.038,0.115,0.115,0.000,0.000,0.115,0.00178173
0.167,0.083,0.083,0.000,0.083,0.083,0.000,0.083,0.000,0.083,0.000,0.000,0.083,0.083,0.000,0.000,0.083,0.000,0.000,0.083,0.0030674
0.200,0.000,0.000,0.100,0.100,0.000,0.100,0.000,0.000,0.000,0.100,0.100,0.000,0.000,0.000,0.200,0.100,0.000,0.000,0.000,0.0111179
0.125,0.125,0.000,0.000,0.000,0.125,0.000,0.375,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.00983536
0.133,0.000,0.067,0.067,0.067,0.000,0.000,0.000,0.000,0.067,0.133,0.067,0.067,0.067,0.000,0.200,0.000,0.000,0.067,0.000,0.00238607
0.048,0.000,0.000,0.000,0.048,0.143,0.000,0.095,0.000,0.000,0.095,0.048,0.048,0.048,0.143,0.143,0.000,0.000,0.048,0.095,0.00216072
0.182,0.000,0.000,0.000,0.000,0.182,0.091,0.000,0.000,0.091,0.091,0.091,0.091,0.000,0.000,0.000,0.091,0.000,0.000,0.091,0.00351517
0.091,0.000,0.000,0.000,0.000,0.273,0.000,0.091,0.000,0.091,0.091,0.091,0.000,0.000,0.091,0.000,0.000,0.091,0.091,0.000,0.00291322
0.250,0.083,0.000,0.000,0.000,0.000,0.000,0.083,0.000,0.333,0.000,0.000,0.000,0.000,0.083,0.083,0.000,0.000,0.000,0.083,0.00294242
0.000,0.077,0.000,0.000,0.000,0.231,0.000,0.308,0.000,0.000,0.000,0.000,0.154,0.000,0.154,0.077,0.000,0.000,0.000,0.000,0.00587884
0.000,0.042,0.042,0.042,0.000,0.167,0.000,0.042,0.042,0.083,0.250,0.000,0.083,0.000,0.042,0.125,0.042,0.000,0.000,0.000,0.00190002
0.000,0.000,0.000,0.200,0.000,0.067,0.067,0.133,0.000,0.000,0.133,0.067,0.000,0.000,0.000,0.067,0.067,0.000,0.067,0.133,0.00301241
0.182,0.000,0.000,0.091,0.000,0.091,0.091,0.000,0.000,0.000,0.091,0.091,0.000,0.000,0.091,0.091,0.091,0.000,0.091,0.000,0.00535869
0.053,0.053,0.000,0.105,0.053,0.000,0.105,0.105,0.053,0.000,0.053,0.053,0.053,0.053,0.105,0.053,0.000,0.000,0.105,0.000,0.00376815
0.000,0.091,0.000,0.000,0.000,0.091,0.091,0.091,0.000,0.000,0.182,0.000,0.091,0.000,0.273,0.091,0.000,0.000,0.000,0.000,0.00388645
0.067,0.000,0.000,0.200,0.000,0.067,0.000,0.200,0.000,0.067,0.067,0.067,0.000,0.000,0.067,0.133,0.000,0.000,0.000,0.067,0.0048899
0.231,0.077,0.000,0.077,0.077,0.154,0.000,0.000,0.077,0.000,0.154,0.000,0.000,0.000,0.000,0.077,0.077,0.000,0.000,0.000,0.00596646
0.091,0.000,0.000,0.045,0.000,0.091,0.091,0.045,0.045,0.000,0.182,0.045,0.000,0.000,0.136,0.136,0.000,0.045,0.045,0.000,0.00259764
0.056,0.000,0.111,0.056,0.000,0.167,0.000,0.111,0.000,0.056,0.111,0.056,0.056,0.056,0.000,0.056,0.056,0.000,0.000,0.056,0.00261829
0.188,0.000,0.000,0.125,0.000,0.000,0.000,0.188,0.000,0.125,0.000,0.062,0.062,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.00327072
0.000,0.143,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.143,0.000,0.000,0.429,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.00457672
0.077,0.000,0.077,0.000,0.154,0.000,0.000,0.077,0.077,0.000,0.000,0.077,0.000,0.000,0.231,0.077,0.000,0.000,0.000,0.154,0.00951216
0.250,0.125,0.125,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00597143
0.062,0.000,0.000,0.250,0.000,0.062,0.000,0.125,0.062,0.000,0.000,0.062,0.000,0.000,0.062,0.062,0.000,0.062,0.062,0.125,0.00408271
0.000,0.125,0.125,0.000,0.000,0.125,0.125,0.000,0.000,0.125,0.250,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.00502556
0.080,0.000,0.040,0.080,0.000,0.080,0.040,0.080,0.000,0.040,0.080,0.040,0.040,0.040,0.040,0.120,0.040,0.000,0.080,0.080,0.00191501
0.143,0.071,0.000,0.000,0.000,0.000,0.286,0.071,0.000,0.071,0.071,0.000,0.000,0.000,0.071,0.071,0.000,0.000,0.071,0.071,0.00412767
0.143,0.143,0.000,0.000,0.000,0.429,0.000,0.000,0.143,0.000,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0153761
0.000,0.059,0.000,0.235,0.000,0.176,0.118,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.118,0.059,0.000,0.000,0.059,0.059,0.00493539
0.000,0.045,0.000,0.136,0.091,0.182,0.091,0.045,0.045,0.000,0.182,0.000,0.000,0.000,0.000,0.000,0.091,0.000,0.000,0.091,0.00243043
0.000,0.000,0.000,0.000,0.067,0.400,0.000,0.000,0.000,0.133,0.067,0.067,0.000,0.000,0.067,0.067,0.000,0.000,0.000,0.133,0.00304906
0.053,0.000,0.053,0.000,0.105,0.211,0.158,0.000,0.000,0.000,0.053,0.053,0.000,0.000,0.105,0.158,0.000,0.000,0.000,0.053,0.00482968
0.000,0.053,0.000,0.158,0.053,0.053,0.053,0.053,0.000,0.053,0.053,0.000,0.105,0.000,0.000,0.158,0.105,0.000,0.000,0.105,0.00302165
0.200,0.000,0.000,0.000,0.000,0.100,0.200,0.000,0.100,0.100,0.000,0.100,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.100,0.0104695
0.077,0.000,0.000,0.077,0.000,0.000,0.077,0.077,0.000,0.000,0.231,0.077,0.000,0.000,0.154,0.000,0.154,0.000,0.077,0.000,0.00329724
0.000,0.091,0.000,0.091,0.091,0.000,0.182,0.182,0.000,0.000,0.000,0.000,0.000,0.091,0.091,0.000,0.000,0.000,0.182,0.000,0.00466672
0.067,0.067,0.000,0.067,0.000,0.067,0.000,0.133,0.067,0.067,0.133,0.000,0.133,0.000,0.067,0.133,0.000,0.000,0.000,0.000,0.00351379
0.188,0.062,0.000,0.062,0.000,0.000,0.062,0.062,0.000,0.062,0.062,0.000,0.000,0.000,0.125,0.312,0.000,0.000,0.000,0.000,0.00539605
0.000,0.125,0.125,0.250,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.00582667
0.182,0.000,0.000,0.091,0.000,0.000,0.000,0.091,0.000,0.091,0.182,0.091,0.000,0.182,0.000,0.000,0.091,0.000,0.000,0.000,0.00247534
0.059,0.059,0.118,0.000,0.000,0.000,0.118,0.000,0.000,0.000,0.118,0.000,0.000,0.059,0.118,0.118,0.000,0.059,0.000,0.176,0.00244614
0.091,0.000,0.182,0.000,0.000,0.091,0.000,0.000,0.000,0.091,0.000,0.091,0.000,0.091,0.091,0.091,0.091,0.000,0.091,0.000,0.00410818
0.250,0.000,0.000,0.000,0.000,0.500,0.000,0.083,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.00963363
0.091,0.000,0.000,0.091,0.000,0.091,0.091,0.000,0.091,0.091,0.000,0.091,0.000,0.091,0.000,0.000,0.091,0.000,0.000,0.182,0.00556534
0.231,0.077,0.077,0.000,0.077,0.000,0.077,0.000,0.000,0.231,0.077,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.077,0.000,0.00299716
0.000,0.000,0.000,0.111,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.111,0.000,0.111,0.111,0.000,0.333,0.00409413
0.143,0.000,0.000,0.143,0.000,0.071,0.071,0.071,0.000,0.071,0.000,0.071,0.071,0.071,0.071,0.000,0.000,0.000,0.000,0.143,0.00330341
0.167,0.000,0.111,0.111,0.000,0.056,0.056,0.111,0.000,0.111,0.111,0.056,0.000,0.000,0.056,0.000,0.000,0.000,0.000,0.056,0.00305405
0.062,0.000,0.000,0.000,0.062,0.125,0.125,0.000,0.062,0.125,0.188,0.062,0.000,0.062,0.000,0.000,0.062,0.000,0.000,0.062,0.00279757
0.100,0.100,0.000,0.100,0.000,0.000,0.100,0.100,0.000,0.200,0.000,0.000,0.000,0.000,0.200,0.000,0.100,0.000,0.000,0.000,0.00620538
0.118,0.000,0.059,0.000,0.000,0.059,0.059,0.059,0.000,0.118,0.059,0.059,0.059,0.118,0.000,0.059,0.118,0.000,0.000,0.059,0.00234898
0.000,0.000,0.067,0.200,0.067,0.000,0.000,0.067,0.000,0.067,0.067,0.067,0.000,0.000,0.000,0.067,0.000,0.067,0.133,0.133,0.00255957
0.100,0.000,0.000,0.100,0.100,0.000,0.100,0.000,0.000,0.100,0.200,0.100,0.000,0.100,0.000,0.100,0.000,0.000,0.000,0.000,0.00348771
0.375,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.00435793
0.000,0.091,0.000,0.364,0.000,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.091,0.091,0.000,0.000,0.000,0.091,0.00596721
0.111,0.111,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.111,0.111,0.000,0.000,0.000,0.111,0.00620763
0.053,0.053,0.000,0.105,0.000,0.053,0.105,0.211,0.000,0.000,0.105,0.000,0.000,0.000,0.053,0.158,0.053,0.000,0.000,0.053,0.00502555
0.059,0.000,0.059,0.000,0.000,0.118,0.059,0.059,0.000,0.059,0.235,0.059,0.059,0.059,0.059,0.059,0.000,0.000,0.000,0.059,0.00218818
0.000,0.000,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.273,0.091,0.000,0.000,0.000,0.091,0.182,0.000,0.000,0.091,0.00331378
0.038,0.000,0.038,0.038,0.038,0.115,0.038,0.038,0.038,0.038,0.000,0.038,0.038,0.115,0.077,0.115,0.000,0.038,0.077,0.077,0.00237771
0.000,0.000,0.000,0.143,0.000,0.071,0.000,0.000,0.071,0.143,0.071,0.071,0.000,0.000,0.000,0.071,0.071,0.000,0.071,0.214,0.00374321
0.000,0.083,0.000,0.083,0.000,0.000,0.083,0.000,0.083,0.000,0.083,0.000,0.083,0.000,0.000,0.083,0.167,0.000,0.083,0.167,0.00489396
0.000,0.083,0.083,0.083,0.000,0.167,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.083,0.167,0.000,0.000,0.083,0.000,0.00371601
0.053,0.053,0.105,0.158,0.000,0.053,0.000,0.000,0.053,0.053,0.053,0.000,0.053,0.053,0.053,0.053,0.053,0.000,0.105,0.053,0.00318143
0.000,0.111,0.000,0.222,0.000,0.333,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.111,0.111,0.000,0.000,0.000,0.00882772
0.000,0.074,0.074,0.074,0.000,0.111,0.037,0.000,0.000,0.037,0.185,0.037,0.000,0.000,0.185,0.037,0.074,0.000,0.000,0.074,0.00283752
0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.188,0.000,0.062,0.062,0.062,0.000,0.000,0.125,0.000,0.188,0.000,0.062,0.188,0.00351836
0.095,0.000,0.000,0.048,0.000,0.143,0.048,0.095,0.000,0.000,0.048,0.048,0.000,0.095,0.190,0.048,0.000,0.000,0.095,0.048,0.00264046
0.067,0.067,0.000,0.067,0.067,0.133,0.067,0.000,0.000,0.067,0.200,0.000,0.000,0.000,0.200,0.067,0.000,0.000,0.000,0.000,0.00299412
0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.125,0.250,0.125,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.00286662
0.071,0.000,0.000,0.071,0.000,0.286,0.143,0.000,0.071,0.071,0.143,0.071,0.000,0.000,0.071,0.000,0.000,0.000,0.000,0.000,0.00488604
0.353,0.000,0.000,0.000,0.000,0.000,0.294,0.059,0.000,0.000,0.118,0.059,0.000,0.000,0.000,0.059,0.059,0.000,0.000,0.000,0.00509957
0.000,0.125,0.000,0.000,0.000,0.375,0.125,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.00623472
0.083,0.083,0.083,0.083,0.000,0.083,0.000,0.000,0.000,0.083,0.000,0.000,0.083,0.000,0.083,0.167,0.167,0.000,0.000,0.000,0.0058138
0.182,0.091,0.000,0.000,0.000,0.000,0.000,0.091,0.000,0.000,0.091,0.000,0.000,0.000,0.000,0.182,0.091,0.091,0.000,0.182,0.00396072
0.000,0.053,0.000,0.000,0.000,0.053,0.105,0.105,0.000,0.053,0.105,0.000,0.000,0.053,0.000,0.158,0.000,0.000,0.053,0.263,0.00246328
0.071,0.071,0.071,0.000,0.000,0.071,0.000,0.214,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.357,0.071,0.000,0.000,0.071,0.0169777
0.077,0.154,0.077,0.077,0.000,0.000,0.000,0.077,0.000,0.077,0.077,0.000,0.000,0.000,0.231,0.000,0.000,0.000,0.154,0.000,0.0041126
